Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/description,http://purl.org/dc/terms/rights,http://purl.org/dc/terms/title,http://purl.org/pav/createdOn,http://purl.org/pav/lastUpdatedOn,http://purl.org/pav/version,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#narrower,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#topConceptOf
http://purl.org/datacite/v4.4/ISSN,ISSN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,ISSN,
http://purl.org/datacite/v4.4/IsRequiredBy,IsRequiredBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsRequiredBy,
http://purl.org/datacite/v4.4/URN,URN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,URN,
http://purl.org/datacite/v4.4/PMID,PMID,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,PMID,
http://purl.org/datacite/v4.4/Requires,Requires,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Requires,
http://purl.org/datacite/v4.4/DataCurator,DataCurator,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,DataCurator,
http://purl.org/datacite/v4.4/ProjectMember,ProjectMember,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,ProjectMember,
http://purl.org/datacite/v4.4/Handle,Handle,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,Handle,
http://purl.org/datacite/v4.4/DataManager,DataManager,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,DataManager,
http://purl.org/datacite/v4.4/Issued,Issued,,,false,,,http://purl.org/datacite/v4.4/DateType,,,,,,,,,http://purl.org/datacite/v4.4/DateType,,,http://purl.org/datacite/v4.4,,Issued,
http://purl.org/datacite/v4.4/Created,Created,,,false,,,http://purl.org/datacite/v4.4/DateType,,,,,,,,,http://purl.org/datacite/v4.4/DateType,,,http://purl.org/datacite/v4.4,,Created,
http://purl.org/datacite/v4.4/bibcode,bibcode,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,bibcode,
http://purl.org/datacite/v4.4/RelatedIdentifierType,Related Identifier Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/EISSN|http://purl.org/datacite/v4.4/PURL|http://purl.org/datacite/v4.4/ISBN|http://purl.org/datacite/v4.4/IGSN|http://purl.org/datacite/v4.4/URL|http://purl.org/datacite/v4.4/ARK|http://purl.org/datacite/v4.4/ISSN|http://purl.org/datacite/v4.4/URN|http://purl.org/datacite/v4.4/PMID|http://purl.org/datacite/v4.4/Handle|http://purl.org/datacite/v4.4/bibcode|http://purl.org/datacite/v4.4/LISSN|http://purl.org/datacite/v4.4/UPC|http://purl.org/datacite/v4.4/w3id|http://purl.org/datacite/v4.4/ISTC|http://purl.org/datacite/v4.4/arXiv|http://purl.org/datacite/v4.4/DOI|http://purl.org/datacite/v4.4/EAN13,Related Identifier Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/Organization,Organization,,,false,,,http://purl.org/datacite/v4.4/ResourceCreatorType,,,,,,,,,http://purl.org/datacite/v4.4/ResourceCreatorType,,,http://purl.org/datacite/v4.4,,Organization,
http://purl.org/datacite/v4.4/IsPartOf,IsPartOf,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsPartOf,
http://purl.org/datacite/v4.4/IsIdenticalTo,IsIdenticalTo,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsIdenticalTo,
http://purl.org/datacite/v4.4/Person,Person,,,false,,,http://purl.org/datacite/v4.4/ResourceCreatorType,,,,,,,,,http://purl.org/datacite/v4.4/ResourceCreatorType,,,http://purl.org/datacite/v4.4,,Person,
http://purl.org/datacite/v4.4/RegistrationAgency,RegistrationAgency,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,RegistrationAgency,
http://purl.org/datacite/v4.4/Researcher,Researcher,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Researcher,
http://purl.org/datacite/v4.4/RegistrationAuthority,RegistrationAuthority,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,RegistrationAuthority,
http://purl.org/datacite/v4.4/LISSN,LISSN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,LISSN,
http://purl.org/datacite/v4.4/IsReviewedBy,IsReviewedBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsReviewedBy,
http://purl.org/datacite/v4.4/Text,Text,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Text,
http://purl.org/datacite/v4.4/DescriptionType,Description Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Methods|http://purl.org/datacite/v4.4/TechnicalInfo|http://purl.org/datacite/v4.4/TableOfContents|http://purl.org/datacite/v4.4/SeriesInformation|http://purl.org/datacite/v4.4/Abstract,Description Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/PhysicalObject,PhysicalObject,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,PhysicalObject,
http://purl.org/datacite/v4.4/IsContinuedBy,IsContinuedBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsContinuedBy,
http://purl.org/datacite/v4.4/Distributor,Distributor,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Distributor,
http://purl.org/datacite/v4.4/UPC,UPC,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,UPC,
http://purl.org/datacite/v4.4/IsDocumentedBy,IsDocumentedBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsDocumentedBy,
http://purl.org/datacite/v4.4/Documents,Documents,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Documents,
http://purl.org/datacite/v4.4/TranslatedTitle,TranslatedTitle,,,false,,,http://purl.org/datacite/v4.4/TitleType,,,,,,,,,http://purl.org/datacite/v4.4/TitleType,,,http://purl.org/datacite/v4.4,,TranslatedTitle,
http://purl.org/datacite/v4.4/Producer,Producer,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Producer,
http://purl.org/datacite/v4.4/ConferencePaper,ConferencePaper,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,ConferencePaper,
http://purl.org/datacite/v4.4/Report,Report,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Report,
http://purl.org/datacite/v4.4/References,References,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,References,
http://purl.org/datacite/v4.4/AlternativeTitle,AlternativeTitle,,,false,,,http://purl.org/datacite/v4.4/TitleType,,,,,,,,,http://purl.org/datacite/v4.4/TitleType,,,http://purl.org/datacite/v4.4,,AlternativeTitle,
http://purl.org/datacite/v4.4/w3id,w3id,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,w3id,
http://purl.org/datacite/v4.4/Editor,Editor,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Editor,
http://purl.org/datacite/v4.4/Collection,Collection,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Collection,
http://purl.org/datacite/v4.4/OtherContributorType,Other,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Other,
