Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:IsVariantFormOf,IsVariantFormOf,indicates A is a variant or different form of B,,,datacite:relationType,,,,,,,
datacite:IsOriginalFormOf,IsOriginalFormOf,indicates A is the original form of B,,,datacite:relationType,,,,,,,
datacite:IsIdenticalTo,IsIdenticalTo,"indicates that A is identical to B, for use when there is a need to register two separate instances of the same resource
",,,datacite:relationType,,,,,,,
datacite:IsReviewedBy,IsReviewedBy,indicates that A is reviewed by B,,,datacite:relationType,,,,,,,
datacite:Reviews,Reviews,indicates that A is a review of B,,,datacite:relationType,,,,,,,
datacite:IsDerivedFrom,IsDerivedFrom,indicates B is a source upon which A is based,,,datacite:relationType,,,,,,,
datacite:IsSourceOf,IsSourceOf,indicates A is a source upon which B is based,,,datacite:relationType,,,,,,,
datacite:IsRequiredBy,IsRequiredBy,Indicates A is required by B,,,datacite:relationType,,,,,,,
datacite:Requires,Requires,Indicates A requires B,,,datacite:relationType,,,,,,,
datacite:Obsoletes,Obsoletes,Indicates A replaces B,,,datacite:relationType,,,,,,,
datacite:IsRequiredBy,IsRequiredBy,Indicates A is replaced by B,,,datacite:relationType,,,,,,,
datacite:IsCollectedBy,IsCollectedBy,Indicates A is collected by B,,,datacite:relationType,,,,,,,
datacite:Collects,Collects,Indicates A collects B,,,datacite:relationType,,,,,,,
datacite:descriptionType,descriptionType,The type of the Description.,,,,,,,,,,
datacite:Abstract,Abstract,A brief description of the resource and the context in which the resource was created.,,,datacite:descriptionType,,,,,,,
datacite:Methods,Methods,The methodology employed for the study or research.,,,datacite:descriptionType,,,,,,,
datacite:SeriesInformation,SeriesInformation,"Information about a repeating series, such as volume, issue, number.",,,datacite:descriptionType,,,,,,,
datacite:TableOfContents,TableOfContents,A listing of the Table of Contents.,,,datacite:descriptionType,,,,,,,
datacite:TechnicalInfo,TechnicalInfo,"Detailed information that may be associated with design, implementation, operation, use, and/or maintenance of a process, system, or instrument.",,,datacite:descriptionType,,,,,,,
datacite:OtherDescriptionType,Other,Other description information that does not fit into an existing category.,,,datacite:descriptionType,,,,,,,
datacite:dateType,dateType,"The type of date. Use RKMS‐ISO8601 standard for depicting date ranges.To indicate the end of an embargo period, use Available. To indicate the start of an embargo period, use Submitted or Accepted, as appropriate.",,,,,,,,,,
datacite:Accepted,Accepted,The date that the publisher accepted the resource into their system.,,,datacite:dateType,,,,,,,
datacite:Available,Available,The date that the publisher accepted the resource into their system.,,,datacite:dateType,,,,,,,
datacite:Copyrighted,Copyrighted,"The specific, documented date at which the resource receives a copyrighted status, if applicable.",,,datacite:dateType,,,,,,,
datacite:Collected,Collected,The date or date range in which the resource content was collected.,,,datacite:dateType,,,,,,,
datacite:Created,Created,"The date the resource itself was put together; this could refer to a timeframe in ancient history, a date range, or a single date for a final component, e.g., the finalised file with all the data.",,,datacite:dateType,,,,,,,
datacite:Issued,Issued,"The date that the resource is published or distributed, e.g., to a data centre.",,,datacite:dateType,,,,,,,
datacite:OtherDateType,Other,Other date that does not fit into an existing category.,,,datacite:dateType,,,,,,,
datacite:Submitted,Submitted,The date the creator submits the resource to the publisher. This could be different from Accepted if the publisher then applies a selection process.,,,datacite:dateType,,,,,,,
datacite:Updated,Updated,"The date of the last update to the resource, when the resource is being added to. May be a range.",,,datacite:dateType,,,,,,,
datacite:Valid,Valid,The date or date range during which the dataset or resource is accurate.,,,datacite:dateType,,,,,,,
datacite:Withdrawn,Withdrawn,The date the resource is removed.,,,datacite:dateType,,,,,,,
datacite:contributorType,contributorType,The type of contributor of the resource.,,,,,,,,,,
datacite:ContactPerson,ContactPerson,"Person with knowledge of how to access, troubleshoot, or otherwise field issues related to the resource.",,,datacite:contributorType,,,,,,,
datacite:DataCollector,DataCollector,Person/institution responsible for finding or gathering/collecting data under the guidelines of the author(s) or Principal Investigator (PI).,,,datacite:contributorType,,,,,,,
datacite:DataCurator,DataCurator,"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a data centre or repository.",,,datacite:contributorType,,,,,,,
datacite:DataManager,DataManager,"Person (or organisation with a staff of data managers, such as a data centre) responsible for maintaining the finished resource.",,,datacite:contributorType,,,,,,,
datacite:Distributor,Distributor,Institution tasked with responsibility to generate/disseminate copies of the resource in either electronic or print form.,,,datacite:contributorType,,,,,,,
datacite:Editor,Editor,A person who oversees the details related to the publication format of the resource.,,,datacite:contributorType,,,,,,,
